 Table of rho values created with FFT surfaces and polarized ray tracing as described in
   Mobley, C.D., 2015.  Polarized Reflectance and Transmittance Properties of Wind-blown Sea Surfaces,
   Applied Optics (in review)
 NOTE: This is a preliminary table for use during review of the above paper.
   These rho values are for fully developed seas, sun's direct rays parallel to the wind direction,
   a Rayleigh, single-scattering sky at 550 nm, and wind speeds of 0, 2, 4, 5, 6, 8, 10, 12, 14, and 15 m/s.
   The final table will be placed online once the above paper has been accepted for publication.
 rho is computed from the I components of the Stokes radiance vectors: rho = I(surface reflected)/I(sky) [nondimensional]
 Theta_v is the polar viewing angle measured from 0 at the nadir.
 Phi_v is the azimuthal viewing angle measured from the sun at phi_v = 0
 Looping order is
    wind speed
       sun zenith angle
          theta_v
             phi_v
 Data blocks of 118 theta_v, phi_v, rho(theta_v, phi_v) records on an (f7.1,f9.1,e15.4) format are separated by 
   records giving the wind speed and sun zenith angle on an (12x,f5.1,20x,f5.1) format.
-------------------------------
 Theta_v    Phi_v       rho
-------------------------------
WIND SPEED =  0.0; SUN ZENITH ANGLE =  0.0
   10.0    120.0    2.1119e-002
   10.0    135.0    2.1236e-002
   10.0    150.0    2.1350e-002
   10.0    165.0    2.1434e-002
   10.0    180.0    2.1464e-002
   20.0      0.0    2.1404e-002
   20.0     15.0    2.1357e-002
   20.0     30.0    2.1228e-002
   20.0     45.0    2.1059e-002
   20.0     60.0    2.0908e-002
   20.0     75.0    2.0846e-002
   20.0     90.0    2.0930e-002
   20.0    105.0    2.1192e-002
   20.0    120.0    2.1617e-002
   20.0    135.0    2.2135e-002
   20.0    150.0    2.2636e-002
   20.0    165.0    2.2999e-002
   20.0    180.0    2.3132e-002
   30.0      0.0    2.2328e-002
   30.0     15.0    2.2244e-002
   30.0     30.0    2.2022e-002
   30.0     45.0    2.1741e-002
   30.0     60.0    2.1529e-002
   30.0     75.0    2.1541e-002
   30.0     90.0    2.1920e-002
   30.0    105.0    2.2746e-002
   30.0    120.0    2.3983e-002
   30.0    135.0    2.5450e-002
   30.0    150.0    2.6853e-002
   30.0    165.0    2.7865e-002
   30.0    180.0    2.8234e-002
   40.0      0.0    2.5943e-002
   40.0     15.0    2.5825e-002
   40.0     30.0    2.5518e-002
   40.0     45.0    2.5164e-002
   40.0     60.0    2.4996e-002
   40.0     75.0    2.5306e-002
   40.0     90.0    2.6381e-002
   40.0    105.0    2.8383e-002
   40.0    120.0    3.1221e-002
   40.0    135.0    3.4491e-002
   40.0    150.0    3.7554e-002
   40.0    165.0    3.9731e-002
   40.0    180.0    4.0518e-002
   50.0      0.0    3.7531e-002
   50.0     15.0    3.7386e-002
   50.0     30.0    3.7027e-002
   50.0     45.0    3.6686e-002
   50.0     60.0    3.6752e-002
   50.0     75.0    3.7733e-002
   50.0     90.0    4.0125e-002
   50.0    105.0    4.4179e-002
   50.0    120.0    4.9644e-002
   50.0    135.0    5.5699e-002
   50.0    150.0    6.1179e-002
   50.0    165.0    6.4971e-002
   50.0    180.0    6.6321e-002
   60.0      0.0    7.0987e-002
   60.0     15.0    7.0825e-002
   60.0     30.0    7.0455e-002
   60.0     45.0    7.0231e-002
   60.0     60.0    7.0759e-002
   60.0     75.0    7.2828e-002
   60.0     90.0    7.7174e-002
   60.0    105.0    8.4044e-002
   60.0    120.0    9.2811e-002
   60.0    135.0    1.0202e-001
   60.0    150.0    1.0996e-001
   60.0    165.0    1.1524e-001
   60.0    180.0    1.1708e-001
   70.0      0.0    1.6308e-001
   70.0     15.0    1.6289e-001
   70.0     30.0    1.6248e-001
   70.0     45.0    1.6231e-001
   70.0     60.0    1.6321e-001
   70.0     75.0    1.6620e-001
   70.0     90.0    1.7216e-001
   70.0    105.0    1.8113e-001
   70.0    120.0    1.9197e-001
   70.0    135.0    2.0270e-001
   70.0    150.0    2.1147e-001
   70.0    165.0    2.1707e-001
   70.0    180.0    2.1898e-001
   80.0      0.0    4.0927e-001
   80.0     15.0    4.0898e-001
   80.0     30.0    4.0822e-001
   80.0     45.0    4.0745e-001
   80.0     60.0    4.0742e-001
   80.0     75.0    4.0910e-001
   80.0     90.0    4.1325e-001
   80.0    105.0    4.1981e-001
   80.0    120.0    4.2768e-001
   80.0    135.0    4.3529e-001
   80.0    150.0    4.4136e-001
   80.0    165.0    4.4516e-001
   80.0    180.0    4.4644e-001
   87.5      0.0    8.0146e-001
   87.5     15.0    8.0120e-001
   87.5     30.0    8.0047e-001
   87.5     45.0    7.9944e-001
   87.5     60.0    7.9840e-001
   87.5     75.0    7.9781e-001
   87.5     90.0    7.9806e-001
   87.5    105.0    7.9927e-001
   87.5    120.0    8.0115e-001
   87.5    135.0    8.0318e-001
   87.5    150.0    8.0490e-001
   87.5    165.0    8.0601e-001
   87.5    180.0    8.0639e-001
WIND SPEED =  0.0; SUN ZENITH ANGLE = 40.0
    0.0      0.0    2.1142e-002
   10.0      0.0    2.1291e-002
   10.0     15.0    2.1259e-002
   10.0     30.0    2.1171e-002
   10.0     45.0    2.1051e-002
   10.0     60.0    2.0931e-002
   10.0     75.0    2.0849e-002
   10.0     90.0    2.0835e-002
   10.0    105.0    2.0906e-002
   10.0    120.0    2.1056e-002
   10.0    135.0    2.1252e-002
   10.0    150.0    2.1449e-002
   10.0    165.0    2.1594e-002
   10.0    180.0    2.1647e-002
   20.0      0.0    2.1595e-002
   20.0     15.0    2.1504e-002
   20.0     30.0    2.1254e-002
   20.0     45.0    2.0909e-002
   20.0     60.0    2.0570e-002
   20.0     75.0    2.0360e-002
   20.0     90.0    2.0392e-002
   20.0    105.0    2.0737e-002
   20.0    120.0    2.1382e-002
   20.0    135.0    2.2215e-002
   20.0    150.0    2.3045e-002
   20.0    165.0    2.3657e-002
   20.0    180.0    2.3882e-002
   30.0      0.0    2.2474e-002
   30.0     15.0    2.2305e-002
   30.0     30.0    2.1835e-002
   30.0     45.0    2.1190e-002
   30.0     60.0    2.0574e-002
   30.0     75.0    2.0255e-002
   30.0     90.0    2.0514e-002
   30.0    105.0    2.1541e-002
   30.0    120.0    2.3321e-002
   30.0    135.0    2.5569e-002
   30.0    150.0    2.7782e-002
   30.0    165.0    2.9398e-002
   30.0    180.0    2.9990e-002
   40.0      0.0    2.5659e-002
   40.0     15.0    2.5392e-002
   40.0     30.0    2.4656e-002
   40.0     45.0    2.3650e-002
   40.0     60.0    2.2730e-002
   40.0     75.0    2.2401e-002
   40.0     90.0    2.3222e-002
   40.0    105.0    2.5595e-002
   40.0    120.0    2.9470e-002
   40.0    135.0    3.4206e-002
   40.0    150.0    3.8736e-002
   40.0    165.0    4.1966e-002
   40.0    180.0    4.3131e-002
   50.0      0.0    3.5999e-002
   50.0     15.0    3.5611e-002
   50.0     30.0    3.4542e-002
   50.0     45.0    3.3097e-002
   50.0     60.0    3.1849e-002
   50.0     75.0    3.1662e-002
   50.0     90.0    3.3529e-002
   50.0    105.0    3.8128e-002
   50.0    120.0    4.5221e-002
   50.0    135.0    5.3474e-002
   50.0    150.0    6.0997e-002
   50.0    165.0    6.6151e-002
   50.0    180.0    6.7970e-002
   60.0      0.0    6.6617e-002
   60.0     15.0    6.6068e-002
   60.0     30.0    6.4554e-002
   60.0     45.0    6.2517e-002
   60.0     60.0    6.0830e-002
   60.0     75.0    6.0860e-002
   60.0     90.0    6.4178e-002
   60.0    105.0    7.1690e-002
   60.0    120.0    8.2622e-002
   60.0    135.0    9.4570e-002
   60.0    150.0    1.0481e-001
   60.0    165.0    1.1150e-001
   60.0    180.0    1.1380e-001
   70.0      0.0    1.5337e-001
   70.0     15.0    1.5260e-001
   70.0     30.0    1.5044e-001
   70.0     45.0    1.4749e-001
   70.0     60.0    1.4493e-001
   70.0     75.0    1.4469e-001
   70.0     90.0    1.4894e-001
   70.0    105.0    1.5859e-001
   70.0    120.0    1.7207e-001
   70.0    135.0    1.8597e-001
   70.0    150.0    1.9726e-001
   70.0    165.0    2.0433e-001
   70.0    180.0    2.0671e-001
   80.0      0.0    3.9389e-001
   80.0     15.0    3.9291e-001
   80.0     30.0    3.9010e-001
   80.0     45.0    3.8602e-001
   80.0     60.0    3.8189e-001
   80.0     75.0    3.7979e-001
   80.0     90.0    3.8203e-001
   80.0    105.0    3.8949e-001
   80.0    120.0    4.0038e-001
   80.0    135.0    4.1152e-001
   80.0    150.0    4.2041e-001
   80.0    165.0    4.2592e-001
   80.0    180.0    4.2777e-001
   87.5      0.0    7.9238e-001
   87.5     15.0    7.9179e-001
   87.5     30.0    7.9005e-001
   87.5     45.0    7.8739e-001
   87.5     60.0    7.8435e-001
   87.5     75.0    7.8195e-001
   87.5     90.0    7.8141e-001
   87.5    105.0    7.8326e-001
   87.5    120.0    7.8683e-001
   87.5    135.0    7.9077e-001
   87.5    150.0    7.9404e-001
   87.5    165.0    7.9611e-001
   87.5    180.0    7.9681e-001
WIND SPEED =  0.0; SUN ZENITH ANGLE = 50.0
    0.0      0.0    2.1160e-002
   10.0      0.0    2.1423e-002
   10.0     15.0    2.1372e-002
   10.0     30.0    2.1231e-002
   10.0     45.0    2.1035e-002
   10.0     60.0    2.0836e-002
   10.0     75.0    2.0691e-002
   10.0     90.0    2.0652e-002
   10.0    105.0    2.0745e-002
   10.0    120.0    2.0962e-002
   10.0    135.0    2.1258e-002
   10.0    150.0    2.1557e-002
   10.0    165.0    2.1779e-002
   10.0    180.0    2.1860e-002
   20.0      0.0    2.1923e-002
   20.0     15.0    2.1777e-002
   20.0     30.0    2.1369e-002
   20.0     45.0    2.0792e-002
   20.0     60.0    2.0196e-002
